classes	TEL-AML1_1	TEL-AML1_2	TEL-AML1_3	TEL-AML1_4	TEL-AML1_5	TEL-AML1_6	TEL-AML1_7	TEL-AML1_8	TEL-AML1_9	TEL-AML1_10	TEL-AML1_11	TEL-AML1_12	TEL-AML1_13	TEL-AML1_14	TEL-AML1_15	TEL-AML1_16	TEL-AML1_17	TEL-AML1_18	TEL-AML1_19	TEL-AML1_20	TEL-AML1_21	TEL-AML1_22	TEL-AML1_23	TEL-AML1_24	TEL-AML1_25	TEL-AML1_26	TEL-AML1_27	TEL-AML1_28	TEL-AML1_29	TEL-AML1_30	T-ALL_1	T-ALL_2	T-ALL_3	T-ALL_4	T-ALL_5	T-ALL_6	T-ALL_7	T-ALL_8	T-ALL_9	T-ALL_10	T-ALL_11	T-ALL_12	T-ALL_13	T-ALL_14	T-ALL_15	T-ALL_16	T-ALL_17	T-ALL_18	T-ALL_19	T-ALL_20
5745	0	3540.7	0	0	0	0	0	0	0	0	2316.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14716.6
100533955	21837	11849.9	16988	12909.8	20999.1	18551.8	7984	14611.8	15934.1	24168.8	21313.5	17227.2	16386.8	19943.3	21573.4	18458.7	9274.2	15190.3	18374.1	28890.5	8531.8	21285	18611.2	13304.4	14872.7	20269.1	30465.8	16731.1	20323.1	9038.2	13756.9	15367.7	44111.6	25300.5	10923.1	21491.3	16303.8	8115.4	32148.8	18920.6	63409.8	13172	24517.6	21897	44709.8	22140.5	34012.3	35741.9	46898.4	13996
5988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5982	0	0	2727.8	1709.7	0	0	0	0	0	0	2341.4	0	1700.3	2160	0	0	0	0	0	2599.4	0	0	0	0	0	1868.6	0	2205.4	0	0	0	2013.5	1418.7	0	1956.6	0	0	0	0	0	3051.2	0	0	0	3988.1	1069.8	0	3393	0	0
5983	0	0	2108.3	2552.8	0	0	0	0	0	2624.1	1514.2	0	0	1128.6	0	1071.5	0	0	0	0	0	0	0	0	1141.1	1619.5	2427.8	0	0	0	3219.1	1968.3	1772.1	0	3313	0	5030.3	1740.6	0	0	1980.9	0	0	0	2216.8	2177.7	2418.9	2542.9	2813.9	0
5980	0	2002.2	3329.3	3860	4249.5	0	5405.5	2696.4	0	2739.7	3883.2	5038.5	3688.3	3524	5116.6	3101	3964.4	2499.1	3397.5	3451.9	2406.9	3527.8	0	6183.7	3800.4	3053.7	8560.8	3244	4445.9	1592.1	2307.6	4560.2	0	5736.7	4210.2	1871.5	0	0	3590.3	0	1386.7	0	6615	4925.1	4263.5	2229.3	1296.9	2860.3	4366.2	0
5981	0	0	0	3497.6	0	0	0	0	0	2655.7	0	4665	0	0	4449.4	0	0	3550.1	0	0	0	0	2630.9	3239.9	0	0	0	3452.8	4488.6	0	0	2575.1	0	2833.7	0	0	0	3648	0	0	0	0	0	2502.5	0	0	0	0	0	0
5986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5987	9136.4	7018.7	6865.4	6155.5	5373.5	0	7391.3	6414.6	6582.2	9000.7	7209.8	5457.7	3625.4	7630.5	7120.2	8091.3	8805.9	7156.9	7736.1	5108.2	0	8163.8	5552.8	5969.1	6628.8	6838.7	8842.4	5853.5	12619.7	6970	5941	3739.2	5525	5477.2	4681	6696.4	6580.7	0	5178.9	5136.9	9460.1	0	4505.7	7415.3	5963.3	4305.5	3648.6	7496.5	7638.5	10178.1
5984	2064.3	0	5039.2	3158.1	4263.7	3513.4	4377	3732.7	0	2679.4	3699.9	2235.2	2621.3	5232	4830.7	5334	0	0	7518.6	4280	3364.3	0	5327.1	3351.6	3412	2538.5	3457.1	5060.3	5047.6	4437.8	0	4449.1	4188.4	4229.2	3746	0	5712.1	5995.4	2757.6	4632.3	4011.6	0	0	3782	7772.6	5585	4889.9	7943.1	0	0
5985	0	0	5970.2	3097.9	4213.5	0	0	0	0	3543	2910.5	0	0	4767.9	0	2923.6	0	0	0	3257.3	2815.9	3167.4	4526.2	4265.1	0	3019.1	3004.3	4408.1	0	3974.5	1283.9	2440.3	4520.8	3405.6	0	0	0	0	0	3433.5	3573.9	0	0	2644.8	4744.5	4214.7	2694.2	5814.9	0	0
10613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1354	0	0	1715.3	0	0	0	0	787.3	1318.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2077.6	0	6295.8	0
26585	0	0	0	0	0	0	0	0	0	0	2591.1	5331.5	0	2094	0	1512.7	0	0	0	0	0	0	0	0	0	0	0	0	3333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2253.7	0	0	0	2409.1	0
101060681	7190.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2229.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101060682	5141.3	3320	0	2365.6	0	0	0	0	0	2468.8	1703	3526.6	0	1673.5	3150.1	1372.9	3844.9	1919.6	0	2060.7	0	3298	0	0	4140.8	1409.5	2700	0	4465.2	4683.2	0	0	0	0	1986.2	2878.6	0	0	3601.5	0	2347.4	0	0	2229	2550.9	0	0	949.2	0	0
101060684	11557.7	4830.6	4999.3	16608	9151.5	14851.7	17634.1	8947.2	14398.6	11812.3	11812	0	0	16635	11755	6408.4	10854.1	11155.1	14319.1	7053.5	7790.4	14935.4	12110.2	12266	13880	6132.1	7783.3	8178.7	12452.2	16718.3	14139.1	5052.6	9110.9	5951.1	12821.6	14184.9	12283.4	0	9492.4	10302.7	13263.4	3607.3	12242.2	4023.9	16997.6	0	8617.7	4979	0	28249.4
6794	0	0	0	0	0	0	0	0	0	0	0	1863.8	0	1031.1	3839.1	1266.4	3457.1	0	4345.1	0	0	0	0	0	0	0	0	5395.8	0	0	0	3656.2	0	0	4999.1	0	0	0	0	0	1861.1	0	0	0	2267.5	0	3447.1	0	2067.5	0
6795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1910.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13162.6
6793	0	5315.9	6102.4	7832.4	7896.6	4621.8	4591	4460.4	7314.5	7089	6428.9	6493.6	5939	5068.3	5344.9	6264.7	8083.1	4912.2	5737.8	3969.3	6872.2	6843.3	8522.6	3732.8	6225.9	5065.8	4540.2	7659.5	6042.5	6086.6	8332.5	3575.7	5288.1	2214	7876.3	7080.3	0	0	7430.3	7095.5	3169	0	0	8607.3	3093.3	0	3810.2	3653.5	8581.8	0
6790	0	0	3896.2	0	0	0	0	0	3895.3	3262.2	0	0	0	3621.2	0	2380	2004.3	1162.3	0	0	0	0	2321.9	0	0	1936.6	2340.6	2017.2	0	0	0	2244.7	0	0	0	0	0	0	2076.3	3899.7	2701.9	0	0	2096.5	0	1818.3	2571.2	4548.5	0	0
6791	0	0	1579.5	0	0	0	0	0	0	0	1037.3	0	0	0	0	684.4	0	0	0	1774.6	1491	2008.7	0	0	0	873.2	0	0	0	2081.7	0	0	1063.8	0	0	0	0	0	0	0	1439.6	0	0	1574.4	1662	0	1467.6	1059.3	0	0
6799	0	2337.1	5350.3	5068.7	0	0	5338	0	0	4187.9	5008.2	3826.6	4230.1	4848.4	4756.5	5652.6	5062.5	4435.2	4465.8	4748.8	4741.9	4578.3	6771.5	3613.3	5082.2	5825	5495	10412.3	5117.7	3368.5	6702.9	2758.6	7417.7	1912.5	6745.7	0	6549.5	7514.9	7102.8	6366.9	2079	0	0	3651.9	5222.1	5123.7	5755.5	5132.3	3997.1	0
56125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
402055	0	5617.3	2921	0	0	0	0	0	0	6276.1	4313.9	0	0	0	0	3336.1	0	0	3414	0	0	0	0	0	0	3535.7	0	0	0	6444.4	0	3231.6	0	0	2400.1	0	0	0	3152.3	0	0	0	0	3084.6	0	0	0	2215.9	0	0
57292	0	0	2475.9	0	0	0	0	3109.6	0	0	0	0	0	1935.4	0	1141.2	0	0	0	3271.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2933.3	0	0	0	0	0	0	0	0	1986.9	0	0	3587	0	0	0
260294	0	9017.4	10620.4	17420.6	11383.3	11981.2	7532.5	11476.7	7886.2	11259.2	8004.2	11802.5	5203.7	6708.8	15801.7	14487.3	12091.7	5389.6	7884.8	8714.9	12965.5	9373.8	13303	8307.7	13792	9968.8	7043.2	22868	7103.2	8239.7	17441.7	7274	22807.3	13297	12825.6	12413.5	13125.1	28370	27803.5	15625.6	9651.1	10459.9	8626.5	25184.4	23240.2	10748.4	19098.6	13071.7	29091.9	16856.6
270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55837	0	0	4891.8	3941.6	0	0	0	6216.2	3634.6	0	3477.8	3205	4502.2	3486.2	0	0	0	5232.9	0	4466.1	4239.5	0	3446.9	5358.3	0	3327	0	4429.2	7214.2	0	0	2534.8	4572.4	0	0	0	0	0	0	0	4123.9	4539.1	6266.4	3793.5	3841.5	0	0	5382.6	0	0
272	0	0	1081.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1988.2	0	0	1596.6	0	0	1531.7	0	0	2815	0	0	0	2974.3	0	1435.3	0	0	3818	0	0	0	1433.6	2283.3	0
273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2006	0	0	0	0	0	0	0	0	0	0	0
55832	0	0	1033.8	2168.7	0	0	3219.6	0	0	0	0	0	0	0	4985.5	2544.5	2816.5	2704.4	0	1695	0	4162.4	1686.3	0	3526.2	1371.9	0	2248.5	0	1820.1	0	2029.1	0	0	2257.7	2618.2	0	3626.9	1669.7	0	2458.8	0	0	1574.2	1021.3	1736.1	0	2098.2	2284.9	0
275	0	0	1112.1	0	0	0	0	0	0	0	2957.8	3754.3	1539.1	0	0	2409.3	0	0	0	0	0	0	0	0	0	1108.5	0	0	2485	0	1676.8	0	0	0	0	0	0	3894.3	3383.5	0	0	2389.4	0	1918.9	2005.8	2103.5	1954.4	0	3967.3	0
55830	0	3282.4	2327.9	0	3189.4	0	2862.2	0	0	0	1712.6	0	0	2207	0	1890.3	0	0	0	1743.4	0	0	3629.8	0	0	0	0	2969.1	2876.2	0	2991.1	2522.7	0	0	3078.6	0	0	0	1605.5	0	1632.6	3878	0	2271.8	1376.7	2048.6	1527.7	2184.7	3358.5	0
277	0	0	1314.3	0	0	0	0	0	0	0	0	2370.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3590.1	0	0	0	0	0	0	0	0	0	0	0	0	1283.3	0	0	1516.7	1551.5	0	0	0	0	0
278	0	0	1314.3	0	0	0	0	0	0	0	0	2370.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3590.1	0	0	0	0	0	0	0	0	0	0	0	0	1283.3	0	0	1516.7	1551.5	0	0	0	0	0
279	0	0	1314.3	0	0	0	0	0	0	0	0	2370.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3590.1	0	0	0	0	0	0	0	0	0	0	0	0	1283.3	0	0	1516.7	1551.5	0	0	0	0	0
1371	0	0	0	0	0	0	0	0	0	2603.5	0	0	2445.4	0	0	1261.8	0	0	2014.3	0	0	0	0	1821.8	0	0	0	0	0	0	0	1593.5	0	0	0	0	0	0	0	0	1138.7	0	2379.6	0	2107.5	0	0	1375.7	0	0
221960	3592.5	7427.8	6545.7	7525.6	4328.5	0	0	0	0	3988	4882	5450.9	6747.9	7180.4	0	6113.5	7693.8	4755.2	5671.7	7522.3	4303.7	5926.5	5539.3	4656	2629.7	5751.4	6056.3	4252.6	7180.1	4491.9	8710.7	5037.1	6171.1	7311.5	5075.9	5804.2	9004.4	7209	5730.6	7563.8	9042.8	10020.6	10964.4	7023.1	7425.3	7158.9	4183.4	7487.4	6171.8	0
9528	0	4933	6260.4	5475.2	7663.4	5241.6	6799.5	10120.5	0	6754.2	7942.8	6813.2	8516.2	5246.7	5916.4	6913.6	6843.6	3404.2	6484.2	3260	4830	7397	5434.7	6427.7	6285.4	5301	5145.2	7827.7	6080.4	8391.8	6009.3	6009.7	6633.7	5625.5	5662.2	4056.6	0	5322.2	6304.6	3886	5942.6	13759.5	0	9350	5391.8	5621.5	5606.3	6206.1	7504.4	0
9529	0	4033	4141.3	4504.4	0	0	4176	0	3426.5	5438.7	5264.6	0	3852.6	3573.1	0	4491.7	0	3352.6	0	5275.6	4867.6	5315.5	3790	4749	5886.8	3447.3	3682.1	3590.2	3455.5	0	6357.9	3454.3	3632.3	0	6092.8	4299.1	0	5059.2	4758.7	0	3543.4	0	0	4020.7	5006.1	4616.1	3128.4	5443.7	4226.1	4967.4
