classes	TEL-AML1_1	TEL-AML1_2	TEL-AML1_3	TEL-AML1_4	TEL-AML1_5	TEL-AML1_6	TEL-AML1_7	TEL-AML1_8	TEL-AML1_9	TEL-AML1_10	TEL-AML1_11	TEL-AML1_12	TEL-AML1_13	TEL-AML1_14	TEL-AML1_15	TEL-AML1_16	TEL-AML1_17	TEL-AML1_18	TEL-AML1_19	TEL-AML1_20	TEL-AML1_21	TEL-AML1_22	TEL-AML1_23	TEL-AML1_24	TEL-AML1_25	TEL-AML1_26	TEL-AML1_27	TEL-AML1_28	TEL-AML1_29	TEL-AML1_30	TEL-AML1_31	TEL-AML1_32	TEL-AML1_33	TEL-AML1_34	TEL-AML1_35	TEL-AML1_36	TEL-AML1_37	TEL-AML1_38	TEL-AML1_39	TEL-AML1_40	TEL-AML1_41	TEL-AML1_42	TEL-AML1_43	TEL-AML1_44	TEL-AML1_45	TEL-AML1_46	TEL-AML1_47	TEL-AML1_48	TEL-AML1_49	TEL-AML1_50
5745	0	3540.7	0	0	0	0	0	0	0	0	2316.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2956.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100533955	21837	11849.9	16988	12909.8	20999.1	18551.8	7984	14611.8	15934.1	24168.8	21313.5	17227.2	16386.8	19943.3	21573.4	18458.7	9274.2	15190.3	18374.1	28890.5	8531.8	21285	18611.2	13304.4	14872.7	20269.1	30465.8	16731.1	20323.1	9038.2	16367.4	10346.7	15361	16496.8	15142.6	31186.8	24633.5	14168.1	20487.8	9540.8	7427.6	17597.7	25672.2	15690.7	16106.5	16631.9	14180.8	27411.9	15319.7	22163
5988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2178.9	0	1206.9	0	0	0	0	0	1116.4	0	0
5989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5982	0	0	2727.8	1709.7	0	0	0	0	0	0	2341.4	0	1700.3	2160	0	0	0	0	0	2599.4	0	0	0	0	0	1868.6	0	2205.4	0	0	0	0	0	0	4802.3	0	0	0	0	0	0	0	2618.5	0	0	0	0	0	0	0
5983	0	0	2108.3	2552.8	0	0	0	0	0	2624.1	1514.2	0	0	1128.6	0	1071.5	0	0	0	0	0	0	0	0	1141.1	1619.5	2427.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1927.9	0	1344.1	0	0
5980	0	2002.2	3329.3	3860	4249.5	0	5405.5	2696.4	0	2739.7	3883.2	5038.5	3688.3	3524	5116.6	3101	3964.4	2499.1	3397.5	3451.9	2406.9	3527.8	0	6183.7	3800.4	3053.7	8560.8	3244	4445.9	1592.1	4421.8	2548.5	2448.7	4679.4	5203.4	3448.4	3518.1	5826.4	4157.1	0	2631.8	4402.5	4050.7	0	3526.4	0	2870.2	3683.8	5437.4	3840.6
5981	0	0	0	3497.6	0	0	0	0	0	2655.7	0	4665	0	0	4449.4	0	0	3550.1	0	0	0	0	2630.9	3239.9	0	0	0	3452.8	4488.6	0	0	0	6550.1	0	0	0	0	0	0	0	0	0	0	0	0	4615	0	0	0	0
5986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3571.4	0	0	0	0	0	0	0	0	0	0
5987	9136.4	7018.7	6865.4	6155.5	5373.5	0	7391.3	6414.6	6582.2	9000.7	7209.8	5457.7	3625.4	7630.5	7120.2	8091.3	8805.9	7156.9	7736.1	5108.2	0	8163.8	5552.8	5969.1	6628.8	6838.7	8842.4	5853.5	12619.7	6970	6374.6	7590.2	0	7834.7	5541.2	8011	11175.4	0	6623.6	6374.1	5608	8326.9	8063.8	7725.4	5270.4	5886.8	4848.1	8251.2	0	6223.4
5984	2064.3	0	5039.2	3158.1	4263.7	3513.4	4377	3732.7	0	2679.4	3699.9	2235.2	2621.3	5232	4830.7	5334	0	0	7518.6	4280	3364.3	0	5327.1	3351.6	3412	2538.5	3457.1	5060.3	5047.6	4437.8	0	6237.3	2602	0	3318.4	4593.3	2957.3	0	3028.4	4646.7	0	3491.1	4613.5	2909.8	2005.4	5673.5	3394.3	3921.4	1783	2406.8
5985	0	0	5970.2	3097.9	4213.5	0	0	0	0	3543	2910.5	0	0	4767.9	0	2923.6	0	0	0	3257.3	2815.9	3167.4	4526.2	4265.1	0	3019.1	3004.3	4408.1	0	3974.5	2312.5	4306.8	0	0	0	0	2857.6	0	3721.2	2058	0	4232.5	4836.4	2933	4780.2	3039.2	3751	3899.4	6457.1	0
10613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1354	0	0	1715.3	0	0	0	0	787.3	1318.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1962.1	0	0	0	0
26585	0	0	0	0	0	0	0	0	0	0	2591.1	5331.5	0	2094	0	1512.7	0	0	0	0	0	0	0	0	0	0	0	0	3333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3114.5	0
101060681	7190.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101060682	5141.3	3320	0	2365.6	0	0	0	0	0	2468.8	1703	3526.6	0	1673.5	3150.1	1372.9	3844.9	1919.6	0	2060.7	0	3298	0	0	4140.8	1409.5	2700	0	4465.2	4683.2	0	3026.3	4902.7	0	0	3813.5	0	0	0	0	0	0	0	0	0	2098.7	0	0	4018	0
101060684	11557.7	4830.6	4999.3	16608	9151.5	14851.7	17634.1	8947.2	14398.6	11812.3	11812	0	0	16635	11755	6408.4	10854.1	11155.1	14319.1	7053.5	7790.4	14935.4	12110.2	12266	13880	6132.1	7783.3	8178.7	12452.2	16718.3	6972	6300.2	5445.9	7372.4	10564.1	7563.9	7894.7	16227.6	10642.5	7796.1	7444	5681.9	8034.2	14292.5	16695.3	12128.6	11275.4	11467.5	14496.7	2735.1
6794	0	0	0	0	0	0	0	0	0	0	0	1863.8	0	1031.1	3839.1	1266.4	3457.1	0	4345.1	0	0	0	0	0	0	0	0	5395.8	0	0	0	0	0	0	0	3550	2045	0	2718.9	0	4181.3	0	0	0	0	0	0	0	0	0
6795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1910.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5451.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6793	0	5315.9	6102.4	7832.4	7896.6	4621.8	4591	4460.4	7314.5	7089	6428.9	6493.6	5939	5068.3	5344.9	6264.7	8083.1	4912.2	5737.8	3969.3	6872.2	6843.3	8522.6	3732.8	6225.9	5065.8	4540.2	7659.5	6042.5	6086.6	4529.8	4590.3	5988.7	7692.1	6842.4	4574.4	4194.5	8402.4	8974.4	4771.3	5557.8	5871.7	5364.4	7292.3	5817.4	5668.5	3648.5	6068.3	5487.1	4877.5
6790	0	0	3896.2	0	0	0	0	0	3895.3	3262.2	0	0	0	3621.2	0	2380	2004.3	1162.3	0	0	0	0	2321.9	0	0	1936.6	2340.6	2017.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2162.8	2379	0	0	0	0	0	0
6791	0	0	1579.5	0	0	0	0	0	0	0	1037.3	0	0	0	0	684.4	0	0	0	1774.6	1491	2008.7	0	0	0	873.2	0	0	0	2081.7	0	0	0	0	0	1699.9	0	3498.7	1570.9	0	0	2562.7	0	0	0	1119.4	0	0	0	0
6799	0	2337.1	5350.3	5068.7	0	0	5338	0	0	4187.9	5008.2	3826.6	4230.1	4848.4	4756.5	5652.6	5062.5	4435.2	4465.8	4748.8	4741.9	4578.3	6771.5	3613.3	5082.2	5825	5495	10412.3	5117.7	3368.5	0	3002.3	0	0	6035.4	3925.9	3446.6	0	3427.1	4609.7	6340.5	0	3061.6	7186.4	5062	12182.9	3659	0	3394.4	3692.3
56125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	587.1	0	0	0	0	0	0	0
402055	0	5617.3	2921	0	0	0	0	0	0	6276.1	4313.9	0	0	0	0	3336.1	0	0	3414	0	0	0	0	0	0	3535.7	0	0	0	6444.4	0	0	0	0	0	5225.9	5973.2	0	3208.8	4540.3	3940.5	2559	3596.7	0	0	0	2871.1	0	0	3192.9
57292	0	0	2475.9	0	0	0	0	3109.6	0	0	0	0	0	1935.4	0	1141.2	0	0	0	3271.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3435.8	0	10036.3	0	0	0	2086	1937.6	0	0	0	3009.9	0	0	0
260294	0	9017.4	10620.4	17420.6	11383.3	11981.2	7532.5	11476.7	7886.2	11259.2	8004.2	11802.5	5203.7	6708.8	15801.7	14487.3	12091.7	5389.6	7884.8	8714.9	12965.5	9373.8	13303	8307.7	13792	9968.8	7043.2	22868	7103.2	8239.7	6887.9	9785.5	6417.4	9241.2	8475.1	8319.3	8192.7	12060.7	10522.4	13931.6	8553	6143.4	6281.5	9906.2	10605.6	9648.6	9192.3	8802.6	7951.2	9580.5
270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1192.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55837	0	0	4891.8	3941.6	0	0	0	6216.2	3634.6	0	3477.8	3205	4502.2	3486.2	0	0	0	5232.9	0	4466.1	4239.5	0	3446.9	5358.3	0	3327	0	4429.2	7214.2	0	0	3675.1	3962.9	0	0	0	0	0	3994.5	0	0	0	2997.2	0	0	3697.9	0	0	0	0
272	0	0	1081.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1988.2	0	0	1596.6	0	0	0	0	0	0	0	0	2943.3	0	0	0	0	0	0	0	0	0	0	0	0
273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1080.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55832	0	0	1033.8	2168.7	0	0	3219.6	0	0	0	0	0	0	0	4985.5	2544.5	2816.5	2704.4	0	1695	0	4162.4	1686.3	0	3526.2	1371.9	0	2248.5	0	1820.1	0	0	4036.9	0	0	2390.8	0	0	0	5146.3	2074.1	2421.4	1414	0	2172.3	0	0	3212.6	0	1124.2
275	0	0	1112.1	0	0	0	0	0	0	0	2957.8	3754.3	1539.1	0	0	2409.3	0	0	0	0	0	0	0	0	0	1108.5	0	0	2485	0	0	0	2850.6	0	0	1445.2	0	0	0	3407	0	0	488.3	3685.2	0	3793.6	0	0	0	0
55830	0	3282.4	2327.9	0	3189.4	0	2862.2	0	0	0	1712.6	0	0	2207	0	1890.3	0	0	0	1743.4	0	0	3629.8	0	0	0	0	2969.1	2876.2	0	3301.4	3036.7	2612.6	0	0	0	2154.6	0	0	4117.8	3857.7	2016.1	2419.1	0	0	2739.5	1683.8	0	0	0
277	0	0	1314.3	0	0	0	0	0	0	0	0	2370.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3590.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1268.9	0	0	0	0	0
278	0	0	1314.3	0	0	0	0	0	0	0	0	2370.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3590.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1268.9	0	0	0	0	0
279	0	0	1314.3	0	0	0	0	0	0	0	0	2370.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3590.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1268.9	0	0	0	0	0
1371	0	0	0	0	0	0	0	0	0	2603.5	0	0	2445.4	0	0	1261.8	0	0	2014.3	0	0	0	0	1821.8	0	0	0	0	0	0	0	0	0	0	0	1968.2	0	0	0	1126.3	2698.5	1314.3	0	0	0	827.1	0	0	0	0
