classes	T-ALL_1	T-ALL_2	T-ALL_3	T-ALL_4	T-ALL_5	T-ALL_6	T-ALL_7	T-ALL_8	T-ALL_9	T-ALL_10	T-ALL_11	T-ALL_12	T-ALL_13	T-ALL_14	T-ALL_15	T-ALL_16	T-ALL_17	T-ALL_18	T-ALL_19	T-ALL_20	T-ALL_21	T-ALL_22	T-ALL_23	T-ALL_24	T-ALL_25	T-ALL_26	T-ALL_27	T-ALL_28	T-ALL_29
5745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14716.6	0	0	0	0	0	0	0	0	0
100533955	13756.9	15367.7	44111.6	25300.5	10923.1	21491.3	16303.8	8115.4	32148.8	18920.6	63409.8	13172	24517.6	21897	44709.8	22140.5	34012.3	35741.9	46898.4	13996	21730	28124.9	16790.8	21430.1	31489.2	20930.7	16707.9	33290.6	10424.5
5988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5982	0	2013.5	1418.7	0	1956.6	0	0	0	0	0	3051.2	0	0	0	3988.1	1069.8	0	3393	0	0	0	0	0	0	0	0	0	0	0
5983	3219.1	1968.3	1772.1	0	3313	0	5030.3	1740.6	0	0	1980.9	0	0	0	2216.8	2177.7	2418.9	2542.9	2813.9	0	3817.3	0	1968.6	0	0	0	0	0	0
5980	2307.6	4560.2	0	5736.7	4210.2	1871.5	0	0	3590.3	0	1386.7	0	6615	4925.1	4263.5	2229.3	1296.9	2860.3	4366.2	0	0	0	1076.3	3473.3	2399.3	2019.1	5297.1	5533.2	0
5981	0	2575.1	0	2833.7	0	0	0	3648	0	0	0	0	0	2502.5	0	0	0	0	0	0	0	0	3210.7	0	0	0	0	0	2755
5986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5987	5941	3739.2	5525	5477.2	4681	6696.4	6580.7	0	5178.9	5136.9	9460.1	0	4505.7	7415.3	5963.3	4305.5	3648.6	7496.5	7638.5	10178.1	5404.9	7757	4150.9	6933.8	6651.3	4947.2	10843.4	8194.5	3877.9
5984	0	4449.1	4188.4	4229.2	3746	0	5712.1	5995.4	2757.6	4632.3	4011.6	0	0	3782	7772.6	5585	4889.9	7943.1	0	0	0	0	9763.4	0	2788.7	7889.5	5900.7	4375.7	0
5985	1283.9	2440.3	4520.8	3405.6	0	0	0	0	0	3433.5	3573.9	0	0	2644.8	4744.5	4214.7	2694.2	5814.9	0	0	0	0	3322.9	0	2726.9	0	0	1083	0
10613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2077.6	0	6295.8	0	0	0	0	0	0	0	0	0	0
26585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2253.7	0	0	0	2409.1	0	0	0	0	0	0	0	0	0	0
101060681	0	2229.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5267.7	0	0	0	0	0
101060682	0	0	0	0	1986.2	2878.6	0	0	3601.5	0	2347.4	0	0	2229	2550.9	0	0	949.2	0	0	0	3671.9	2002.9	3350.4	3494.4	0	0	1577.4	1682.2
101060684	14139.1	5052.6	9110.9	5951.1	12821.6	14184.9	12283.4	0	9492.4	10302.7	13263.4	3607.3	12242.2	4023.9	16997.6	0	8617.7	4979	0	28249.4	9024.1	15630.8	0	14658.9	0	8666.4	13358.2	10261.5	0
6794	0	3656.2	0	0	4999.1	0	0	0	0	0	1861.1	0	0	0	2267.5	0	3447.1	0	2067.5	0	0	0	0	1116.2	0	0	0	0	0
6795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6880.3	0	0	0
6792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13162.6	0	0	0	0	2240	0	6088.9	0	0
6793	8332.5	3575.7	5288.1	2214	7876.3	7080.3	0	0	7430.3	7095.5	3169	0	0	8607.3	3093.3	0	3810.2	3653.5	8581.8	0	5081.3	6940.8	7315.2	7109.4	11711.1	0	0	5422.9	6363.6
6790	0	2244.7	0	0	0	0	0	0	2076.3	3899.7	2701.9	0	0	2096.5	0	1818.3	2571.2	4548.5	0	0	0	0	0	0	0	5788.7	0	0	0
6791	0	0	1063.8	0	0	0	0	0	0	0	1439.6	0	0	1574.4	1662	0	1467.6	1059.3	0	0	0	0	0	0	0	0	5688.2	0	0
6799	6702.9	2758.6	7417.7	1912.5	6745.7	0	6549.5	7514.9	7102.8	6366.9	2079	0	0	3651.9	5222.1	5123.7	5755.5	5132.3	3997.1	0	1760.8	8020.4	5790.1	1777.9	0	0	0	5750.1	5376.3
56125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
402055	0	3231.6	0	0	2400.1	0	0	0	3152.3	0	0	0	0	3084.6	0	0	0	2215.9	0	0	0	0	0	5289.4	0	0	0	0	0
57292	0	0	0	0	2933.3	0	0	0	0	0	0	0	0	1986.9	0	0	3587	0	0	0	0	0	0	0	0	0	0	0	0
260294	17441.7	7274	22807.3	13297	12825.6	12413.5	13125.1	28370	27803.5	15625.6	9651.1	10459.9	8626.5	25184.4	23240.2	10748.4	19098.6	13071.7	29091.9	16856.6	12114.3	29344.9	11468.1	9537.2	13852.1	20597.6	11164.8	17159.2	16144.6
