gene	Control___CORN_ORAL_7d	Control___CORN_ORAL_5d	Control___CORN_ORAL_5d	Control___CORN_ORAL_5d	Control___CORN_ORAL_5d	Control___CORN_ORAL_5d	Control___CORN_ORAL_7d
Alb	26.58	26.71	26.42	26.49	26.59	26.53	26.59
LOC259246	25.01	24.78	25.39	25.31	25.05	24.86	24.46
Orm1	19.59	20.01	19.83	20.44	20.11	19.97	19.30
LOC259246	24.55	24.37	24.97	25.04	24.40	24.40	24.01
Hp	23.14	23.15	23.07	23.15	23.37	23.34	22.91
LOC680367	24.48	24.50	24.83	24.54	24.75	24.52	24.68
Fabp1	22.99	23.19	23.21	23.27	23.29	23.27	23.54
Hpx	22.49	22.40	22.54	22.43	22.55	22.59	22.30
Cyp3a23/3a1	18.54	18.81	18.62	18.65	18.60	18.54	18.50
Ttr	24.26	24.19	24.20	24.17	24.23	24.22	24.33
Serpina1	23.28	23.43	23.58	23.27	23.47	23.20	23.24
Trf	24.38	24.45	24.18	24.33	24.47	24.36	24.32
spoypey	23.53	23.49	23.83	23.51	23.81	23.62	23.60
LOC298116	23.44	23.09	23.70	23.32	23.67	23.24	22.85
Fga	21.97	22.06	21.91	21.92	22.06	21.86	21.86
Serpina3n	19.89	20.47	20.22	20.28	20.68	20.20	19.82
Apoe	23.85	23.76	23.58	23.49	23.55	23.55	23.78
p450.1	21.31	20.68	21.14	21.04	20.40	21.87	22.26
LOC298109	22.87	22.69	22.99	22.68	23.18	22.23	22.12
Fgg	21.65	21.79	21.68	21.65	21.80	21.60	21.63
Ahsg	23.69	23.66	23.63	23.57	23.74	23.54	23.83
Cyp3a1	17.70	18.01	17.80	18.15	17.59	17.67	17.68
SAA.1	11.05	12.26	11.73	10.68	12.03	11.74	12.46
C3	22.79	22.66	22.92	22.72	22.91	22.67	22.66
Cyp3a3	17.53	17.70	17.50	17.11	17.55	17.50	17.44
Clu	19.39	19.54	19.56	19.36	19.60	19.30	19.33
Fgb	21.45	21.52	21.33	21.41	21.59	21.34	21.40
Ehhadh	17.57	17.00	16.86	17.40	17.19	16.79	16.98
LOC297568	23.20	22.90	22.89	22.80	22.36	22.94	22.86
Cyp1a2	18.33	18.50	18.33	18.87	18.45	18.16	18.34
Gc	23.09	23.10	23.15	23.05	23.07	23.05	22.87
Apoc1	22.66	22.60	22.38	22.19	22.36	22.49	22.34
Crp	22.62	22.78	22.86	22.86	22.86	22.85	22.85
Cyp2b1	14.57	15.58	14.59	15.31	14.35	14.44	14.89
Cyp3a2	21.78	21.86	20.24	21.47	21.25	21.18	21.85
Fetub	22.04	21.97	21.78	21.74	22.00	22.02	21.61
Lcn2	11.87	12.47	12.31	11.82	12.71	12.59	12.64
LOC293989	20.26	20.16	19.89	19.87	19.92	20.18	20.62
MGC108747	18.82	18.51	18.44	18.12	18.65	18.92	18.58
Kng1andKng2	19.37	19.36	18.93	19.39	19.26	19.73	19.63
Ctsl	19.03	19.01	18.88	18.71	18.92	19.06	19.01
Kng1	19.28	19.37	18.89	19.50	19.04	19.68	19.61
Bhmt	20.46	20.67	21.36	20.57	20.93	21.16	21.30
RGD1562373	16.19	15.69	15.20	16.13	15.84	15.38	15.28
korflo	18.73	18.19	18.89	19.25	17.94	19.47	20.26
Scd1	19.13	18.88	19.85	18.26	20.30	20.62	19.18
Gstm1	20.85	21.03	20.82	21.15	21.03	21.25	21.25
Mt2A	19.10	17.92	17.98	17.61	17.15	16.99	17.28
Cyp4a3	19.08	18.65	19.39	19.89	18.57	20.18	19.91
Gsta2	21.12	21.74	20.76	20.65	21.50	21.85	20.09
Hba-a2	21.07	20.83	21.92	21.48	20.40	21.26	21.27
Mt1a	20.35	18.56	18.74	18.41	18.44	17.67	18.47
Itih4	20.88	20.77	20.79	20.59	20.78	20.79	20.79
LOC494499	19.29	19.34	19.11	19.35	19.81	20.05	18.85
Serpina3k	22.05	22.54	22.06	22.19	22.13	22.12	21.93
Ftl1	21.19	20.62	20.59	20.72	21.18	20.96	21.03
Gstp1	14.15	14.84	13.98	14.04	14.42	14.72	13.87
Rbp4	22.11	22.33	21.91	22.15	22.32	22.14	22.03
Mgst1	21.77	21.70	21.69	21.69	21.85	21.84	21.59
Hmgcs2	20.50	20.59	20.28	20.43	20.52	20.53	20.65
Fth1	21.04	21.20	20.87	21.06	21.08	21.21	21.15
Pzp	22.15	22.10	22.07	21.86	22.09	21.95	21.84
Rpl41.1	19.76	19.85	19.90	19.78	20.25	20.14	20.13
Eef1a1	20.81	20.96	20.95	21.16	20.70	20.75	20.92
Tpt1	20.89	21.00	20.87	20.79	21.03	20.93	20.88
Cyp2b2	16.96	17.57	16.58	16.47	16.13	15.96	16.93
glawsa	17.74	16.34	17.04	17.65	16.99	18.26	19.41
LOC299282	21.88	22.30	22.02	22.07	22.00	21.97	22.02
p450.3	20.25	19.66	20.08	20.00	19.30	20.54	20.94
Ass1	19.99	19.83	20.73	20.34	20.20	20.02	19.88
Apoh	22.22	22.29	22.35	22.12	22.19	22.14	22.18
Hamp	19.97	19.02	18.08	20.15	15.88	16.91	17.10
