pathway	gene1	gene2
B Cell	AKT3	GSK3B
B Cell	VAV3	BLNK
B Cell	VAV3	RAC1
B Cell	VAV3	RAC2
B Cell	VAV3	RAC3
B Cell	CHP	NFAT5
B Cell	CHP	NFATC1
B Cell	CHP	NFATC2
B Cell	CHP	NFATC3
B Cell	CHP	NFATC4
B Cell	AKT1	GSK3B
B Cell	AKT2	GSK3B
B Cell	PIK3R5	AKT3
B Cell	PIK3R5	AKT1
B Cell	PIK3R5	AKT2
B Cell	RASGRP3	HRAS
B Cell	RASGRP3	KRAS
B Cell	RASGRP3	NRAS
B Cell	BLNK	BTK
B Cell	HRAS	FOS
B Cell	HRAS	JUN
B Cell	INPP5D	FCGR2B
B Cell	KRAS	FOS
B Cell	KRAS	JUN
B Cell	LYN	SYK
B Cell	LYN	BTK
B Cell	LYN	CD79A
B Cell	LYN	CD79B
B Cell	NFKBIA	NFKB1
B Cell	NFKBIA	RELA
B Cell	NFKBIB	NFKB1
B Cell	NFKBIB	RELA
B Cell	NFKBIE	NFKB1
B Cell	NFKBIE	RELA
B Cell	NRAS	FOS
B Cell	NRAS	JUN
B Cell	PIK3CA	AKT3
B Cell	PIK3CA	AKT1
B Cell	PIK3CA	AKT2
B Cell	PIK3CB	AKT3
B Cell	PIK3CB	AKT1
B Cell	PIK3CB	AKT2
B Cell	PIK3CD	AKT3
B Cell	PIK3CD	AKT1
B Cell	PIK3CD	AKT2
B Cell	PIK3CG	AKT3
B Cell	PIK3CG	AKT1
B Cell	PIK3CG	AKT2
B Cell	PIK3R1	AKT3
B Cell	PIK3R1	AKT1
B Cell	PIK3R1	AKT2
B Cell	PIK3R2	AKT3
B Cell	PIK3R2	AKT1
B Cell	PIK3R2	AKT2
B Cell	PLCG2	RASGRP3
B Cell	PLCG2	BLNK
B Cell	PLCG2	PRKCB1
B Cell	PPP3CA	NFAT5
B Cell	PPP3CA	NFATC1
B Cell	PPP3CA	NFATC2
B Cell	PPP3CA	NFATC3
B Cell	PPP3CA	NFATC4
B Cell	PPP3CB	NFAT5
B Cell	PPP3CB	NFATC1
B Cell	PPP3CB	NFATC2
B Cell	PPP3CB	NFATC3
B Cell	PPP3CB	NFATC4
B Cell	PPP3CC	NFAT5
B Cell	PPP3CC	NFATC1
B Cell	PPP3CC	NFATC2
B Cell	PPP3CC	NFATC3
B Cell	PPP3CC	NFATC4
B Cell	PPP3R1	NFAT5
B Cell	PPP3R1	NFATC1
B Cell	PPP3R1	NFATC2
B Cell	PPP3R1	NFATC3
B Cell	PPP3R1	NFATC4
B Cell	PPP3R2	NFAT5
B Cell	PPP3R2	NFATC1
B Cell	PPP3R2	NFATC2
B Cell	PPP3R2	NFATC3
B Cell	PPP3R2	NFATC4
B Cell	PTPN6	LILRB3
B Cell	PTPN6	SYK
B Cell	PTPN6	BTK
B Cell	PTPN6	CD22
B Cell	PTPN6	CD72
B Cell	CHP2	NFAT5
B Cell	CHP2	NFATC1
B Cell	CHP2	NFATC2
B Cell	CHP2	NFATC3
B Cell	CHP2	NFATC4
B Cell	SYK	BLNK
B Cell	SYK	PLCG2
B Cell	BTK	PLCG2
B Cell	VAV1	BLNK
B Cell	VAV1	RAC1
B Cell	VAV1	RAC2
B Cell	VAV1	RAC3
B Cell	VAV2	BLNK
B Cell	VAV2	RAC1
B Cell	VAV2	RAC2
B Cell	VAV2	RAC3
B Cell	PIK3R3	AKT3
B Cell	PIK3R3	AKT1
B Cell	PIK3R3	AKT2
B Cell	CD19	VAV3
B Cell	CD19	PIK3R5
B Cell	CD19	PIK3CA
B Cell	CD19	PIK3CB
B Cell	CD19	PIK3CD
B Cell	CD19	PIK3CG
B Cell	CD19	PIK3R1
B Cell	CD19	PIK3R2
B Cell	CD19	VAV1
B Cell	CD19	VAV2
B Cell	CD19	PIK3R3
Glycolysis / Gluconeogenesis - Homo sapiens (human)	GALM	G6PC
Glycolysis / Gluconeogenesis - Homo sapiens (human)	GALM	GCK
Glycolysis / Gluconeogenesis - Homo sapiens (human)	GALM	HK1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	GALM	HK2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	GALM	HK3
Glycolysis / Gluconeogenesis - Homo sapiens (human)	GALM	G6PC2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	LDHAL6A	PKLR
Glycolysis / Gluconeogenesis - Homo sapiens (human)	LDHAL6A	PKM2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	DLAT	DLD
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ENO1	PGAM4
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ENO1	PGAM1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ENO1	PGAM2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ENO1	BPGM
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ENO1	LOC728188
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ENO2	PGAM4
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ENO2	PGAM1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ENO2	PGAM2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ENO2	BPGM
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ENO2	LOC728188
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ENO3	PGAM4
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ENO3	PGAM1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ENO3	PGAM2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ENO3	BPGM
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ENO3	LOC728188
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH2	AKR1A1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH2	ADH1A
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH2	ADH1B
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH2	ADH1C
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH2	ADH4
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH2	ADH5
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH2	ADH6
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH2	ADH7
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH2	ACSS2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH2	ACSS1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3A1	AKR1A1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3A1	ADH1A
